Emenda;Tipo de formalização;Com ou Sem Recurso
2026.005.80418;Repasse fundo a fundo;
2026.005.80419;Repasse fundo a fundo;
2026.005.80420;Repasse fundo a fundo;
2026.005.80421;Repasse fundo a fundo;
2026.005.80422;Repasse fundo a fundo;
2026.005.80423;Repasse fundo a fundo;
2026.005.80424;Repasse fundo a fundo;
2026.005.80425;Repasse fundo a fundo;
2026.005.80426;Repasse fundo a fundo;
2026.005.80427;Repasse fundo a fundo;
2026.005.80428;Repasse fundo a fundo;
2026.005.80429;Repasse fundo a fundo;
2026.005.80430;Repasse fundo a fundo;
2026.005.80432;Repasse fundo a fundo;
2026.005.80433;Repasse fundo a fundo;
2026.005.80434;Repasse fundo a fundo;
2026.005.80435;Repasse fundo a fundo;
2026.005.80436;Repasse fundo a fundo;
2026.005.80437;Repasse fundo a fundo;
2026.005.80438;Repasse fundo a fundo;
2026.005.80439;Repasse fundo a fundo;
2026.005.80440;Repasse fundo a fundo;
2026.005.80441;Repasse fundo a fundo;
2026.005.80442;Repasse fundo a fundo;
2026.005.80458;Repasse fundo a fundo;
2026.005.80459;Repasse fundo a fundo;
2026.005.80463;Repasse fundo a fundo;
2026.005.80464;Repasse fundo a fundo;
2026.005.80466;Repasse fundo a fundo;
2026.005.80467;Repasse fundo a fundo;
2026.005.80468;Repasse fundo a fundo;
2026.005.80474;Convênio normal;
2026.005.80590;Convênio normal;
2026.005.80594;Convênio normal;
2026.005.80007;Convênio normal;
2026.005.85565;Repasse fundo a fundo;NÃO
2026.005.85566;Repasse fundo a fundo;NÃO
2026.005.85567;Repasse fundo a fundo;NÃO
2026.005.85568;Repasse fundo a fundo;NÃO
2026.005.85569;Repasse fundo a fundo;NÃO
2026.005.85570;Repasse fundo a fundo;NÃO
2026.005.85571;Repasse fundo a fundo;NÃO
2026.005.85573;Convênio normal;NÃO
2026.005.85574;Repasse fundo a fundo;NÃO
2026.005.85575;Cancelada;Cancelada
2026.005.85576;Cancelada;Cancelada
2026.005.85577;Repasse fundo a fundo;NÃO
2026.005.85578;Repasse fundo a fundo;NÃO
2026.005.85579;Repasse fundo a fundo;NÃO
2026.005.85580;Repasse fundo a fundo;NÃO
2026.005.85581;Repasse fundo a fundo;NÃO
2026.005.85586;Repasse fundo a fundo;NÃO
2026.005.85587;Repasse fundo a fundo;NÃO
2026.005.85589;Repasse fundo a fundo;NÃO
2026.005.85591;Repasse fundo a fundo;NÃO
2026.005.85592;Repasse fundo a fundo;NÃO
2026.005.85593;Repasse fundo a fundo;NÃO
2026.005.85594;Repasse fundo a fundo;NÃO
2026.005.85595;Repasse fundo a fundo;NÃO
2026.005.85596;Repasse fundo a fundo;NÃO
2026.005.85597;Repasse fundo a fundo;NÃO
2026.005.85598;Repasse fundo a fundo;NÃO
2026.005.85599;Repasse fundo a fundo;NÃO
2026.005.85600;Repasse fundo a fundo;NÃO
2026.005.85601;Repasse fundo a fundo;NÃO
2026.005.85602;Repasse fundo a fundo;NÃO
2026.005.85603;Convênio normal;NÃO
2026.005.85604;Repasse fundo a fundo;NÃO
2026.005.85605;Repasse fundo a fundo;NÃO
2026.005.85606;Repasse fundo a fundo;NÃO
2026.005.85607;Repasse fundo a fundo;NÃO
2026.005.86147;Repasse fundo a fundo;NÃO
2026.005.86148;Repasse fundo a fundo;NÃO
2026.007.81487;Repasse fundo a fundo;
2026.007.81488;Repasse fundo a fundo;
2026.007.81489;Repasse fundo a fundo;
2026.007.81490;Repasse fundo a fundo;
2026.007.81491;Repasse fundo a fundo;
2026.007.81492;Convênio normal;
2026.007.81493;Convênio normal;
2026.007.81494;Repasse fundo a fundo;
2026.007.81495;Repasse fundo a fundo;
2026.007.81496;Repasse fundo a fundo;
2026.007.81497;Repasse fundo a fundo;
2026.007.81498;Repasse fundo a fundo;
2026.007.81500;Repasse fundo a fundo;
2026.007.81501;Convênio normal;
2026.007.81502;Convênio normal;
2026.007.81503;Convênio normal;
2026.007.81504;Convênio normal;
2026.007.81505;Convênio normal;
2026.007.81506;Convênio normal;
2026.007.81507;Repasse fundo a fundo;
2026.007.81508;Repasse fundo a fundo;
2026.007.81509;Repasse fundo a fundo;
2026.007.81510;Repasse fundo a fundo;
2026.007.81511;Repasse fundo a fundo;
2026.007.81512;Repasse fundo a fundo;
2026.007.81513;Repasse fundo a fundo;
2026.007.81527;Repasse fundo a fundo;
2026.007.84584;Repasse fundo a fundo;NÃO
2026.007.84590;Repasse fundo a fundo;NÃO
2026.007.84596;Repasse fundo a fundo;NÃO
2026.007.84602;Cancelada;Cancelada
2026.007.84608;Repasse fundo a fundo;NÃO
2026.007.84613;Repasse fundo a fundo;NÃO
2026.007.84618;Repasse fundo a fundo;NÃO
2026.007.84624;Repasse fundo a fundo;NÃO
2026.007.84648;Repasse fundo a fundo;NÃO
